n	strssn2
1100	0.6300
1200	0.7900
1300	0.9800
1400	1.3100
1500	1.5100
1600	1.9700
1700	1.9900
1800	2.3100
1900	2.7400
2000	3.1900
2500	6.5900
3000	11.8100
3500	15.1700
4000	22.4000
4500	34.9800
5000	46.2400
5500	54.0300
6000	74.5100
6500	92.2500
7000	106.5300
7500	129.6500
8000	157.1100
8500	183.9000
9000	244.5400
9500	254.8300
10000	319.8700
11000	373.2200
12000	488.8500
13000	637.6700
14000	735.8500
15000	904.4100
16000	1117.5801
17000	1292.6700
18000	1748.7400
19000	1849.2500
